name,rank,game_id,tournament_round_id,tournamen_round,team_play,winner,score,FGA,3PA,3PM,FTA,FTM,OREB,REB,AST,ST,BLK,Turnover,PF
Villanova,1,7,7,"national championship","Villanova vs. Michigan",Villanova,79-62,57,27,10,20,15,12,38,7,5,3,12,18
Michigan,3,7,7,"national championship","Villanova vs. Michigan",Villanova,79-62,55,23,3,18,11,4,25,6,6,1,10,20
