player_id,game_id,Min,FGM,FGA,3PA,3PM,FTA,FTM,OREB,REB,AST,ST,BLK,Turnover,PF,PTS,id,name,height,weight,DOB,position_id,team_id,id,tournament_round_id,region_id,team_play,winner,loser,score,id,date,region_id,final round
56,6,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,56,Bruno Skokna,NULL,NULL,NULL,1,6,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
58,6,30,4,12,2,0,0,0,0,7,1,1,0,1,2,8,58,Marques Townes,NULL,NULL,NULL,1,6,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
60,6,30,1,4,2,0,0,0,1,9,2,0,0,2,4,2,60,Donte Ingram,NULL,NULL,NULL,1,6,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
26,6,3,1,1,0,0,0,0,1,1,0,1,0,1,3,2,26,Jon Teske,NULL,NULL,NULL,3,3,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
27,6,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,Isaiah Livers,NULL,NULL,NULL,2,3,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
28,6,36,10,16,7,3,2,1,6,15,1,3,0,2,1,24,28,Moritz Wagner,NULL,NULL,NULL,2,3,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
30,6,35,7,12,2,1,4,2,0,5,1,3,1,1,1,17,30,Charles Matthews,NULL,NULL,NULL,1,3,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
33,6,26,0,6,3,0,0,0,1,3,3,0,0,4,2,0,33,Zavier Simpson,NULL,NULL,NULL,1,3,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
31,6,11,1,2,2,1,0,0,0,1,0,0,0,2,1,3,31,Jaaron Simmons,NULL,NULL,NULL,1,3,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
32,6,12,2,5,3,0,4,3,0,2,0,1,0,0,1,7,32,Jordan Poole,NULL,NULL,NULL,1,3,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
29,6,33,2,11,5,0,4,3,2,5,2,1,0,0,0,7,29,Muhammad-Ali Abdur-Rahkman,NULL,NULL,NULL,1,3,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
34,6,28,2,6,6,2,4,3,0,1,1,1,0,1,2,9,34,Duncan Robinson,NULL,NULL,NULL,1,3,6,6,NULL,Michigan vs.Loyola,Michigan,Loyola,58-54,6,3/31/2018,NULL,final four B
83,7,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,83,Dhamir Cosby-Roundtree,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
74,7,29,3,8,2,0,2,2,4,11,0,0,0,1,3,8,74,Omari Spellman,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
75,7,27,2,5,3,1,2,1,1,8,0,0,1,2,4,6,75,Eric Paschall,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Jermaine Samuels,NULL,NULL,NULL,2,7,7,7,NULL,Villanova vs. Michigan,Villanova,Michigan,79-62,7,4/2/2018,NULL,national championship
