Region Name,Team Seed,Team Name,Team Mascot
MIDWEST,3,Michigan St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg
MIDWEST,14,Bucknell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg
MIDWEST,7,Rhode Island,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rhode-island.svg
MIDWEST,10,Oklahoma,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg
MIDWEST,2,Duke,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg
MIDWEST,15,Iona,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/iona.svg
EAST,16,Long Island,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/long-island.svg
EAST,11,UCLA,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
WEST,16,N.C. Central,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/nc-central.svg
MIDWEST,11,Arizona St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg
