player_id,game_id,Min,FGM,FGA,3PA,3PM,FTA,FTM,OREB,REB,AST,ST,BLK,Turnover,PF,PTS,id,name,height,weight,DOB,position_id,team_id,id,name,region_id,rank,mascot
83,7,4,NULL,0,0,0,0,0,1,1,0,0,0,1,0,0,83,"Dhamir Cosby-Roundtree",NULL,NULL,NULL,2,7,7,Villanova,2,1,NULL
74,7,29,NULL,8,2,0,2,2,4,11,0,0,0,1,3,8,74,"Omari Spellman",NULL,NULL,NULL,2,7,7,Villanova,2,1,NULL
75,7,27,NULL,5,3,1,2,1,1,8,0,0,1,2,4,6,75,"Eric Paschall",NULL,NULL,NULL,2,7,7,Villanova,2,1,NULL
84,7,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,84,"Jermaine Samuels",NULL,NULL,NULL,2,7,7,Villanova,2,1,NULL
76,7,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,76,"Tim Delaney",NULL,NULL,NULL,2,7,7,Villanova,2,1,NULL
77,7,28,NULL,13,5,1,0,0,0,2,2,2,0,2,4,9,77,"Jalen Brunson",NULL,NULL,NULL,1,7,7,Villanova,2,1,NULL
78,7,16,NULL,0,0,0,4,4,0,5,1,1,0,0,0,4,78,"Collin Gillespie",NULL,NULL,NULL,1,7,7,Villanova,2,1,NULL
79,7,37,NULL,15,7,5,10,6,3,5,3,0,2,4,1,31,79,"Donte DiVincenzo",NULL,NULL,NULL,1,7,7,Villanova,2,1,NULL
80,7,23,NULL,4,3,0,0,0,1,2,0,1,0,0,4,2,80,"Phil Booth",NULL,NULL,NULL,1,7,7,Villanova,2,1,NULL
82,7,36,NULL,12,7,3,2,2,2,4,1,1,0,2,2,19,82,"Mikal Bridges",NULL,NULL,NULL,1,7,7,Villanova,2,1,NULL
9,5,26,4,6,0,0,0,0,0,5,0,0,1,1,3,8,9,"Udoka Azubuike",NULL,NULL,NULL,3,1,1,Kansas,4,1,NULL
10,5,10,2,4,0,0,4,3,6,7,0,0,0,1,2,7,10,"Silvio De Sousa",NULL,NULL,NULL,2,1,1,Kansas,4,1,NULL
12,5,39,6,14,2,2,8,7,0,8,1,1,0,2,3,21,12,"Malik Newman",NULL,NULL,NULL,1,1,1,Kansas,4,1,NULL
13,5,39,9,18,8,3,2,1,0,3,3,2,0,3,1,23,13,"Devonte Graham",NULL,NULL,NULL,1,1,1,Kansas,4,1,NULL
15,5,18,0,4,2,0,0,0,0,2,1,0,0,0,0,0,15,"Marcus Garrett",NULL,NULL,NULL,1,1,1,Kansas,4,1,NULL
11,5,32,4,7,2,0,0,0,0,2,0,1,0,0,1,8,11,"Lagerald Vick",NULL,NULL,NULL,1,1,1,Kansas,4,1,NULL
14,5,29,2,8,4,1,6,5,1,2,3,1,0,1,2,10,14,"Sviatoslav Mykhailiuk",NULL,NULL,NULL,1,1,1,Kansas,4,1,NULL
